#,call_by,tier,business,phone,town,tz,vertical,google_website_button,evidence,reviews,owner,listing_problems,ring_test,date_called,reached,ever_had_site,thumbtack_spend,discovery_notes,price_said,status,next_step,next_date,mockup_link,email
1,Miles,WARM,Client #1 (trainer),via Daniel,Los Angeles CA,PT,personal_training,n/a,existing client,-,,"no testimonial, no case study, no monthly",,,,,,,,,testimonial + before/after + 2 referrals + attach $349,,,
2,Miles,WARM,O'Connell Cuts,(805) 559-5592,Newbury Park CA,PT,barbershop,CHECK,he told you himself: a client built him a site,-,Ryan,,,,,,,,,,"CALL FIRST. 10 weeks stale, said interested 7 Jul",,,
3,Daniel,WARM,Carmen's Barber Shop #2,(661) 298-9933,Santa Clarita CA,PT,barbershop,CHECK,unknown,-,Graberial,,,,,,,,,,"one text only, low ticket",,,
4,Miles,A,Oscar Tree Service,(661) 670-1434,Santa Clarita CA,PT,tree_service,CHECK ON MAPS,no custom domain in any search; yelp + chamber listing only,16 yelp,,,,,,,,,,,DRIVABLE - walk in with a mockup,,,
5,Miles,A,ArborGold Tree Care,(574) 933-3617,Rochester IN,ET,tree_service,CHECK ON MAPS,Places API said no site + no custom domain found; IG and FB only,40 birdeye,,phone differs from old pull (3616 vs 3617),,,,,,,,,best review proof on the list,,,arborgoldtreecare@gmail.com
6,Daniel,A,Farley Tree Service,(931) 520-0114,Cookeville TN,CT,tree_service,CHECK ON MAPS,Places API said no site + no custom domain found,20 birdeye,,,,,,,,,,,"20 yrs, 4623 Shipley Rd",,,
7,Miles,A,Weaver's Tree Care,(573) 837-3934,Cape Girardeau MO,CT,tree_service,CHECK ON MAPS,Places API said no site + no custom domain found; FB + Nextdoor only,16 birdeye,,,,,,,,,,,1952 Eden Cir,,,Swoop_jr@yahoo.com
8,Daniel,A,Kelich Tree Service,(765) 416-2542,Elwood IN,ET,tree_service,CHECK ON MAPS,Places API said no site + no custom domain found; FB only,9 birdeye,Jay Kelich,below the 10-49 band,,,,,,,,,2035 N A St,,,jaykelich@gmail.com
9,Miles,A,Expert Tree Care LLC,(317) 935-3367,Brownsburg IN,ET,tree_service,CHECK ON MAPS,no custom domain found; Nextdoor/Angi/BBB/FB/Birdeye only,7 birdeye,"Terry Dickison (mgr), Erin Fanning (owner)",below the band - ask job volume first,,,,,,,,,,,,
10,Daniel,A,Oklahoma Stump Grinding,(918) 734-6747,Tulsa OK,CT,tree_service,CHECK ON MAPS,no custom domain found; yelp listing only,CHECK,,,,,,,,,,,"8618 E 46th St, certified arborist",,,
11,Miles,A,Hall's Septic Tank Service,(229) 251-4434,Hahira GA,ET,septic,CHECK ON MAPS,Places API said no site + no custom domain found,CHECK,,,,,,,,,,,7909 Morven Rd. alt (229) 794-3359,,,
12,Daniel,A,W B Ray Septic Cleaning,(903) 559-2462,Texarkana TX,CT,septic,CHECK ON MAPS,Places API said no site + no custom domain found,CHECK,,,,,,,,,,,open 24 hrs,,,
