rank,group,business,trade,phone,city,state,metro,street,site_verified,notes
1,Welding & metal fab,Albert Iron Work,"fabrication, powder coating, rolling",(818) 599-2935,Sun Valley,CA,"Los Angeles, CA",11660 Sheldon St #C,none anywhere,"VERIFIED NO SITE. Searched by name + city: only BBB, Yelp, Yellow Pages, ZeroFi. No own domain anywhere. Started 10/30/2024, owner Mathew Ebrahimian. New shop, no web presence at all."
2,Welding & metal fab,Delta Tech,"welding, aluminum welding, machine shop",(818) 767-4234,Sun Valley,CA,"Los Angeles, CA",11671 Sheldon St Ste G,none anywhere,"VERIFIED NO SITE. Yelp and BBB show a 'website' button but no URL resolves. 27 years in business, owner Razmik Toursian. Long-running shop running on directories only."
3,Welding & metal fab,Kuton Welding,welding,(818) 771-0964,Sun Valley,CA,"Los Angeles, CA",11380 Luddington St,none anywhere,VERIFIED NO SITE. Only Yelp and Yellow Pages listings surface. Search returns so little that even hours and services are missing. Close to invisible online.
4,Welding & metal fab,LADO Spot & Resistance Welding,spot and resistance welding,(818) 768-2209,Sun Valley,CA,"Los Angeles, CA",11400 Luddington St #A,none anywhere,"VERIFIED NO SITE. Yahoo Local, Yelp and one scraped directory. No own domain. Niche specialty with zero web presence."
5,Welding & metal fab,Motion Welding Company,"TIG, MIG, arc, silver brazing, tube bending",(818) 326-7460,Sun Valley,CA,"Los Angeles, CA",10950 Tuxford St,none anywhere,"VERIFIED NO SITE. 40 years experience, AWS and mil-STD-1595A certified, established 1985. Only Yelp, Buzzfile, iBegin, Manta. Real credentials, no website to show them on."
6,Welding & metal fab,Prospect Welding,"metal fence and gate fabrication, stainless",(818) 439-7595,Van Nuys,CA,"Los Angeles, CA",Lake Balboa area,none anywhere,"VERIFIED NO SITE. Yelp only. Search returns almost nothing else — no address detail, no hours. Does gate and fence work, which is consumer-search driven."
7,Welding & metal fab,Bell Welding & Machine Shop,"welding, machine shop, wrought iron",(316) 262-5252,Wichita,KS,"Wichita, KS",337 Ellis St Ste 2,none anywhere,"VERIFIED NO SITE. Founded 1987. Listings on Yahoo, D&B, Yelp, Manta, 411, CMac all show a 'Visit Website' button with no URL behind it. 39 years, no site."
8,Welding & metal fab,L & S Sheet Metal,sheet metal fabrication,(316) 267-9422,Wichita,KS,"Wichita, KS",952 N Mosley St,none anywhere,"VERIFIED NO SITE. 42 years in business, 2 employees, 2,400 sq ft shop. Kompass, Procore, Yelp, CitySquares, Buzzfile. No own domain."
9,Welding & metal fab,Custom Sheet & Metal Fabricators,"sheet metal, structural steel, CNC plasma, waterjet",(423) 867-2355,Chattanooga,TN,"Chattanooga, TN",4017 Bennett Rd,none anywhere,"VERIFIED NO SITE. Owner Wayne Kohlmann, started 2008. Blue Book, BBB, Yelp, IndustryNet. Has waterjet and CNC plasma and still no website."
10,Welding & metal fab,Moe's Portable Welding,"mobile welding, cast iron repair",(423) 619-2691,Chattanooga,TN,"Chattanooga, TN",6725 Ringgold Rd,none anywhere,"VERIFIED NO SITE. Facebook page only. 33 years certified, 5 stars across Yellow Pages. 'We Come To You' mobile model — exactly the searcher who asks an assistant."
