rank,group,business,trade,phone,city,state,street,site_verified,notes
1,Tree & landscape,2 Guys Tree Service,tree service,(260) 442-9502,Fort Wayne,IN,7531 Auburn Rd,none anywhere,"Directory listings only, no own domain. Single crew, single address."
2,Tree & landscape,Affordable Tree Service,tree service,(260) 478-1192,Fort Wayne,IN,8031 Kinnerk Rd,none anywhere,"BBB accredited since 1995, 36 years, 5.0 rating. Manta shows a website field with no URL behind it."
3,Tree & landscape,All About Tree & Turf Services,"arborist, removal, stump, transplanting",(260) 888-9174,Fort Wayne,IN,2401 Miner St Ste 200,none anywhere,"Owner Darick, 30 years in the trade. Open Sundays and overnight — takes storm work, which is emergency search."
4,Tree & landscape,Sheltons Tree Service,tree service,(260) 489-6987,Fort Wayne,IN,4714 W Wallen Rd,none anywhere,"Directory listings only, BBB A+ rated. No own domain in any search."
5,Tree & landscape,Somers Tree Service,"tree service, difficult climbs",(260) 312-8152,Fort Wayne,IN,2710 Florida Dr,none anywhere,"Insured, licensed, family owned, 20+ years, 5.0 rating, specializes in hard-to-access climbing."
6,Tree & landscape,Boling & Family Tree Service,tree service,(865) 385-3441,Knoxville,TN,529 Dry Hollow Rd,none anywhere,Facebook page (facebook.com/bolingfamilytrees) is the entire web presence. Assistants rarely cite a Facebook page as a business's home.
7,Tree & landscape,Total Tree Service,tree service,(865) 315-7988,Knoxville,TN,6338 Flint Gap Rd,none anywhere,Directory listings only. Knoxville's top-ranked tree companies all have sites and outrank them.
8,Tree & landscape,Gutierrez Landscape & Tree Service,"trimming, planting, emergency, weed abatement",(818) 239-2955,Pacoima,CA,,none anywhere,"In business since 2012, strong reviews, BuildZoom and Facebook only. Two unrelated Gutierrez tree companies own domains — a name-confusion problem a site fixes."
9,Tree & landscape,Cortez Tree & Yard Service,"tree, lawn, brush haul, mulching",(419) 418-4942,Toledo,OH,,none anywhere,Facebook only. HAS EMAIL: corteztreeservice0@gmail.com. (corteztreeservice.us belongs to an unrelated Fort Worth company — they are losing name searches to it.)
10,Tree & landscape,Means Tree Service,"trimming, fertilizing, injections, spraying",(316) 682-5331,Wichita,KS,831 N Bristol Ct,none anywhere,Serving Wichita since 1958 — 68 years. BBB and Yellow Pages show a website link with no URL behind it. Oldest business on this sheet with no site.
11,Tree & landscape,Conquer Tree Service,"24/7 emergency, removal, stump grinding",(316) 553-3016,Wichita,KS,,none anywhere,"Owner/operator Joshua Wynn, started 4/2022, 5.0 rating, open 24 hours. Emergency tree work is the single most search-driven job on this sheet."
12,Tree & landscape,Hardwoods Tree Service,"tree service, difficult removals",(806) 782-8190,Lubbock,TX,,none anywhere,"5.0 on Angi, open 7am-10pm daily. Angi, HomeAdvisor and Yelp only. Competitors in the same search (SavATree, C+K, Hildebrandt) all run real sites."
13,Tree & landscape,Peter's Tree Trimming & Landscape,"removal, trimming, pruning, stump, landscaping",(806) 466-5552,Lubbock,TX,,none anywhere,"EMPTY DOMAIN. They own peterstreetrimming.com and it says 'site will be available soon.' They already decided they need a website and paid for the name. Open 24/7, 5.0 on HomeAdvisor."
14,Tree & landscape,Loard Phillips Tree Service & Removal,"trimming, removal, planting",(918) 282-4198,Tulsa,OK,1144 S 83rd East Ave,none anywhere,"Yelp, BBB, Nextdoor only. 70 photos posted on Yelp — they are already doing the work of marketing, just on rented land."
15,Tree & landscape,Stride's Tree Service & Stump Removal,"tree service, stump grinding, firewood",(330) 757-7617,Youngstown,OH,6484 Tara Dr,none anywhere,RENTED MICROSITE. Their 'website' is stridestreeserviceandstumpremoval.localsearch.com — a directory page they do not own. Established 2000. Second number listed as (234) 338-0073; confirm which is live.
16,"Upholstery, furniture & cabinetry",A A A Perkey's Upholstery,"upholstery, chair caning, cushion work",(865) 687-7404,Knoxville,TN,6038 Edmondson Ln,none anywhere,"Established 1970, 56 years. Yelp, YP, Nextdoor, Manta all show a website field with no URL behind it."
17,"Upholstery, furniture & cabinetry",Special Touch Upholstery,"furniture reupholstery, custom pillows",(865) 909-0080,Knoxville,TN,6709 Kingston Pike Ste A,none anywhere,BROKEN LINK. Their listing points to specialtouchinteriors.ie — an Irish company with no connection to them. Anyone who clicks lands on a stranger's business.
18,"Upholstery, furniture & cabinetry",North Hollywood Auto Upholstery,"headliners, carpet, convertible tops, seat covers",(818) 765-0511,North Hollywood,CA,11576 Vanowen St,none anywhere,"RENTED MICROSITE. Their 'website' is northhollywoodautoupholstery.localsearch.com, a directory page they do not own. One listing points at a dead dental-group domain. EMAIL: nohau991@gmail.com."
19,"Upholstery, furniture & cabinetry",Caoba Craft,"custom cabinets, windows, doors, millwork",(818) 807-0092,North Hollywood,CA,7338 Varna Ave Unit 10,none anywhere,LLC registered 10/14/2025 — the newest business on this sheet. Instagram and Yelp only. Cleanest first-website sale here.
